player_id,age,player_name,email,role,date_inscription,mot_de_passe
P0382,20,Julie Moreau,JulieMoreau@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
P0356,0,Mohamed Philippe,MohamedPhilippe@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
P0267,21,Luc Rossi,LucRossi@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
P0208,21,Morgan Rossi,MorganRossi@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
P0027,26,Casey Kim,CaseyKim@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
P0181,21,Chris Blanc,ChrisBlanc@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
P0734,0,Antoine Garcia,AntoineGarcia@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
P0349,0,Paul Clement,PaulClement@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
P0168,0,Pierre Durand,PierreDurand@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
P0022,34,Morgan Rousseau,MorganRousseau@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
P0376,21,Lena Petit,LenaPetit@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
P0077,21,Casey Garcia,CaseyGarcia@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
P0545,36,Olivia Mercier,OliviaMercier@exemple.com,utilisateur,2025-10-17,37268335dd6931045bdcdf92623ff819a64244b53d0e746d438797349d4da578
